unit,post,treat,Y
1,0,1.0,0.7120210477975171
2,0,1.0,3.8027222142104686
3,0,1.0,5.576349893857665
4,0,1.0,0.3610667552723963
5,0,1.0,5.654164038943766
6,0,1.0,1.0709413991809733
7,0,1.0,-0.23957183774060908
8,0,1.0,0.262937415626491
9,0,1.0,2.5915924013846467
10,0,1.0,1.8610951129480195
11,0,1.0,2.3654735760993133
12,0,1.0,1.6743299406056384
13,0,1.0,0.5147397852523474
14,0,1.0,3.5056553366153755
15,0,1.0,1.6847957017185753
16,0,1.0,4.188036856994398
17,0,1.0,3.5156075497039203
18,0,1.0,1.9571290804200827
19,0,1.0,1.7050147959687292
20,0,1.0,-0.708002744666314
21,0,1.0,3.7459261633996377
22,0,1.0,2.7679571204766105
23,0,1.0,3.207581580418671
24,0,1.0,1.1169582699957135
25,0,1.0,2.5078639419924174
26,0,1.0,0.6271898126517099
27,0,1.0,0.9401960377341272
28,0,1.0,4.471519260550251
29,0,1.0,1.960694729921351
30,0,1.0,2.270204000683496
31,0,1.0,0.2674721901195527
32,0,1.0,1.0273161948926262
33,0,1.0,0.7753817257515481
34,0,1.0,2.0334116799422963
35,0,1.0,1.5369372022905
36,0,1.0,1.9726484787879828
37,0,1.0,3.285165407720166
38,0,1.0,4.642310018992122
39,0,1.0,3.184284271719228
40,0,1.0,0.9195470530513452
41,0,1.0,0.5202859026759608
42,0,1.0,0.9717958998408815
43,0,1.0,2.716828081589195
44,0,1.0,4.003459387136213
45,0,1.0,3.932985226495267
46,0,1.0,5.605476275026966
47,0,1.0,2.3315007190815136
48,0,1.0,1.6865161265405355
49,0,1.0,2.40311285750437
50,0,1.0,-0.24129140280237005
51,0,1.0,2.471491524785896
52,0,1.0,1.9496430104741087
53,0,1.0,0.6824205646335426
54,0,1.0,4.421071719505201
55,0,1.0,1.380274917149387
56,0,1.0,1.751496729627008
57,0,1.0,0.16038089757783025
58,0,1.0,2.723093465264194
59,0,1.0,5.416519713755602
60,0,1.0,2.799937104727698
61,0,1.0,4.135066015981205
62,0,1.0,1.502568791348967
63,0,1.0,3.483419437270664
64,0,1.0,1.3590951491826126
65,0,1.0,0.9050331855783083
66,0,1.0,3.1373729890545183
67,0,1.0,4.602834471643133
68,0,1.0,1.1917576613282532
69,0,1.0,2.9660574203419725
70,0,1.0,-0.4628745314598075
71,0,1.0,0.866651363075267
72,0,1.0,6.397427931333066
73,0,1.0,1.7806817566133557
74,0,1.0,1.5544027707411678
75,0,1.0,3.43623769133968
76,0,1.0,0.8911696473482154
77,0,1.0,3.4179649716260476
78,0,1.0,3.4342630292203333
79,0,1.0,1.9850127501544066
80,0,1.0,4.669248594261796
81,0,1.0,0.11189380252974734
82,0,1.0,1.9373559445883606
83,0,1.0,4.479880340017578
84,0,1.0,3.8985996104267344
85,0,1.0,1.8001793730808149
86,0,1.0,1.4822040956346427
87,0,1.0,2.8442530569358206
88,0,1.0,-0.4717840534137343
89,0,1.0,2.523630298034857
90,0,1.0,2.916613880898237
91,0,1.0,1.3477663638390485
92,0,1.0,2.4829720674066493
93,0,1.0,2.5025357320941444
94,0,1.0,0.2595534917479436
95,0,1.0,2.395876063259083
96,0,1.0,0.3748697826962464
97,0,1.0,1.505499743756114
98,0,1.0,1.7203739649006646
99,0,1.0,4.771259238172852
100,0,1.0,3.7858671455533113
101,0,1.0,4.795820752393755
102,0,1.0,1.590840474442575
103,0,1.0,2.0670096653259566
104,0,1.0,2.893863219314194
105,0,1.0,2.644141485959373
106,0,1.0,4.173189523114809
107,0,1.0,3.5117490047680184
108,0,1.0,3.8750599832022528
109,0,1.0,2.07242802482159
110,0,1.0,3.641029967349197
111,0,1.0,1.7708868668094473
112,0,1.0,6.090069036979993
113,0,1.0,2.035090486337792
114,0,1.0,2.7153532928460673
115,0,1.0,3.6537625449547377
116,0,1.0,6.105302526407475
117,0,1.0,4.113240346706117
118,0,1.0,1.224549504618648
